Model,Metric,Value
google/paligemma2-3b-ft-docci-448,Total Images,927
google/paligemma2-3b-ft-docci-448,Correct Predictions,635
google/paligemma2-3b-ft-docci-448,Wrong Predictions,292
google/paligemma2-3b-ft-docci-448,Accuracy (%),68.50053937432578
google/paligemma2-3b-ft-docci-448,Error Rate (%),31.499460625674217
google/paligemma2-3b-ft-docci-448,Per-Class Accuracy: Class 1 - Motorcycles,99.0
google/paligemma2-3b-ft-docci-448,Per-Class Error Rate: Class 1 - Motorcycles,1.0
google/paligemma2-3b-ft-docci-448,"Per-Class Accuracy: Class 2 - Car, SUV, Station Wagons",94.94949494949495
google/paligemma2-3b-ft-docci-448,"Per-Class Error Rate: Class 2 - Car, SUV, Station Wagons",5.050505050505052
google/paligemma2-3b-ft-docci-448,Per-Class Accuracy: pickup,99.0
google/paligemma2-3b-ft-docci-448,Per-Class Error Rate: pickup,1.0
google/paligemma2-3b-ft-docci-448,Per-Class Accuracy: van,100.0
google/paligemma2-3b-ft-docci-448,Per-Class Error Rate: van,0.0
google/paligemma2-3b-ft-docci-448,Per-Class Accuracy: bus 2,71.42857142857143
google/paligemma2-3b-ft-docci-448,Per-Class Error Rate: bus 2,28.57142857142857
google/paligemma2-3b-ft-docci-448,Per-Class Accuracy: truck 2,41.584158415841586
google/paligemma2-3b-ft-docci-448,Per-Class Error Rate: truck 2,58.415841584158414
google/paligemma2-3b-ft-docci-448,Per-Class Accuracy: bus 3,57.14285714285714
google/paligemma2-3b-ft-docci-448,Per-Class Error Rate: bus 3,42.85714285714286
google/paligemma2-3b-ft-docci-448,Per-Class Accuracy: truck 3,42.0
google/paligemma2-3b-ft-docci-448,Per-Class Error Rate: truck 3,58.0
google/paligemma2-3b-ft-docci-448,Per-Class Accuracy: truck 4,26.436781609195403
google/paligemma2-3b-ft-docci-448,Per-Class Error Rate: truck 4,73.5632183908046
google/paligemma2-3b-ft-docci-448,Per-Class Accuracy: truck 5,50.0
google/paligemma2-3b-ft-docci-448,Per-Class Error Rate: truck 5,50.0
google/paligemma2-3b-ft-docci-448,Processor,x86_64
google/paligemma2-3b-ft-docci-448,CPU Count,128
google/paligemma2-3b-ft-docci-448,Memory (GB),503.47
google/paligemma2-3b-ft-docci-448,Elapsed Time (seconds),297.5706648826599
google/paligemma2-3b-ft-docci-448,CO2 Emissions (kg),0.017609
